longitude,latitude,total_rooms,house_value
-122.23,37.88,880,452600
-122.22,37.86,7099,358500
-122.24,37.85,1467,352100
-122.25,37.85,1274,341300
-122.25,37.85,1627,342200
-122.25,37.85,919,269700
-122.25,37.84,2535,299200
-122.25,37.84,3104,241400
-122.26,37.84,2555,226700
-122.25,37.84,3549,261100
-122.26,37.85,2202,281500
-122.26,37.85,3503,241800
-122.26,37.85,2491,213500
-122.26,37.84,696,191300
-122.26,37.85,2643,159200
-122.26,37.85,1120,140000
-122.27,37.85,1966,152500
-122.27,37.85,1228,155500
-122.26,37.84,2239,158700
-122.27,37.84,1503,162900
-122.27,37.85,751,147500
-122.27,37.85,1639,159800
-122.27,37.84,2436,113900
-122.27,37.84,1688,99700
-122.27,37.84,2224,132600
-122.28,37.85,535,107500
-122.28,37.85,1130,93800
-122.28,37.85,1898,105500
-122.28,37.84,2082,108900
-122.28,37.84,729,132000
-122.28,37.84,1916,122300
-122.28,37.84,2153,115200
-122.27,37.84,1922,110400
-122.27,37.83,1655,104900
-122.27,37.83,2665,109700
-122.27,37.83,1215,97200
-122.27,37.83,1798,104500
-122.28,37.83,1511,103900
-122.26,37.83,1470,191400
-122.26,37.83,2432,176000
-122.26,37.83,1665,155400
-122.26,37.83,936,150000
-122.26,37.84,713,118800
-122.26,37.84,950,188800
-122.26,37.83,1443,184400
-122.26,37.83,1656,182300
-122.26,37.83,1125,142500
-122.27,37.82,1007,137500
-122.26,37.82,624,187500
-122.27,37.82,946,112500
-122.27,37.82,896,171900
-122.27,37.82,1868,93800
-122.27,37.82,3221,97500
-122.27,37.82,1630,104200
-122.28,37.82,1170,87500
-122.28,37.82,945,83100
-122.28,37.82,1238,87500
-122.28,37.82,1489,85300
-122.28,37.82,1387,80300
-122.29,37.82,158,60000
-122.29,37.83,1121,75700
-122.29,37.82,135,75000
-122.29,37.81,760,86100
-122.3,37.81,1224,76100
-122.3,37.81,828,73500
-122.3,37.81,1010,78400
-122.3,37.81,1455,84400
-122.29,37.8,1027,81300
-122.3,37.81,572,85000
-122.29,37.81,2801,129200
-122.29,37.81,768,82500
-122.29,37.81,935,95200
-122.29,37.81,844,75000
-122.29,37.81,12,67500
-122.29,37.81,835,137500
-122.28,37.81,1237,177500
-122.28,37.81,2914,102100
-122.28,37.81,1207,108300
-122.29,37.81,1745,112500
-122.28,37.8,684,131300
-122.28,37.81,924,162500
-122.27,37.81,210,112500
-122.28,37.81,340,112500
-122.28,37.81,386,137500
-122.28,37.81,948,118800
-122.28,37.81,773,98200
-122.27,37.81,880,118800
-122.27,37.81,875,162500
-122.27,37.8,105,137500
-122.27,37.8,249,500001
-122.27,37.8,994,162500
-122.28,37.8,215,137500
-122.28,37.8,96,162500
-122.27,37.79,1055,187500
-122.27,37.8,1715,179200
-122.26,37.8,5329,130000
-122.26,37.82,4596,183800
-122.26,37.81,335,125000
-122.26,37.82,3682,170000
-122.26,37.82,3633,193100
-122.25,37.81,4656,257800
-122.25,37.81,5806,273400
-122.25,37.81,854,237500
-122.25,37.81,2155,350000
-122.26,37.81,5871,335700
-122.24,37.82,1509,313400
-122.24,37.81,2026,268500
-122.25,37.81,1758,259400
-122.24,37.82,3481,275700
-122.25,37.82,3337,225000
-122.25,37.82,1424,262500
-122.25,37.82,3809,218500
-122.25,37.82,3959,255000
-122.25,37.83,2376,224100
-122.25,37.83,1613,243100
-122.25,37.83,1279,231600
-122.25,37.83,5022,218500
-122.25,37.83,4190,234100
-122.23,37.84,2515,327600
-122.23,37.84,3175,347600
-122.24,37.83,2576,366100
-122.24,37.85,334,335000
-122.23,37.85,2800,373600
-122.24,37.84,3529,389500
-122.24,37.85,2612,391100
-122.22,37.85,5287,337300
-122.22,37.84,2935,295200
-122.21,37.84,3424,292300
-122.21,37.83,4991,411500
-122.2,37.84,2211,311500
-122.21,37.84,3038,325900
-122.19,37.84,1617,392600
-122.2,37.84,2865,319300
-122.21,37.83,5065,333300
-122.19,37.83,1326,335200
-122.2,37.83,1589,351200
-122.19,37.83,1791,368900
-122.19,37.82,1835,365900
-122.2,37.82,1229,366700
-122.2,37.82,3770,362800
-122.18,37.81,292,483300
-122.21,37.82,2375,331400
-122.2,37.81,2964,323500
-122.21,37.8,2833,216700
-122.21,37.8,2254,233100
-122.21,37.81,1389,296400
-122.22,37.81,1971,273700
-122.22,37.8,2183,227700
-122.22,37.8,2286,199600
-122.22,37.8,2721,239800
-122.22,37.81,2024,270100
-122.22,37.81,2944,302100
-122.23,37.8,2033,269500
-122.23,37.81,1433,314700
-122.22,37.81,2927,390100
-122.23,37.81,2315,410300
-122.24,37.81,2485,352400
-122.24,37.81,1490,287300
-122.23,37.81,2814,348700
-122.24,37.81,2093,243800
-122.24,37.8,888,211500
-122.25,37.8,2087,218400
-122.24,37.81,2513,269900
-122.25,37.81,3232,218800
-122.25,37.8,4120,225000
-122.25,37.8,2364,250000
-122.25,37.8,1471,171400
-122.25,37.8,2468,193800
-122.24,37.79,1632,125000
-122.25,37.79,1786,97500
-122.25,37.79,629,125000
-122.25,37.79,1339,138800
-122.25,37.8,1678,116700
-122.25,37.8,2344,151800
-122.24,37.8,996,127000
-122.24,37.8,1591,128600
-122.24,37.8,1586,140600
-122.24,37.8,2046,182700
-122.23,37.8,1192,146900
-122.24,37.8,1803,122800
-122.24,37.8,2838,169300
-122.23,37.8,783,126600
-122.23,37.8,1590,127900
-122.23,37.8,1746,123500
-122.23,37.8,1252,111900
-122.23,37.79,5963,112800
-122.23,37.79,1783,107900
-122.23,37.79,999,137500
-122.24,37.79,1469,105500
-122.24,37.79,1372,95500
-122.24,37.79,674,116100
-122.24,37.79,1626,112200
-122.25,37.79,175,75000
-122.25,37.79,461,112500
-122.25,37.79,902,125000
-122.26,37.8,2373,115000
-122.22,37.77,391,95000
-122.22,37.77,1137,96400
-122.23,37.77,769,72000
-122.23,37.78,472,71300
-122.23,37.78,862,80800
-122.22,37.78,1920,128800
-122.23,37.78,1420,112500
-122.23,37.78,986,119400
-122.23,37.78,2340,118100
-122.23,37.79,1696,122500
